X_km,Y_km,Z_km
-1.834975781538829207e+08,-1.298232475997520387e+08,-5.473420796230351925e+07
-1.824144128482931852e+08,-1.311561706649007052e+08,-5.537218234627009928e+07
-1.813165635827217996e+08,-1.324785359626146257e+08,-5.600569939861892909e+07
-1.802041268488963842e+08,-1.337902429748146385e+08,-5.663471062924949080e+07
-1.790771994311295152e+08,-1.350911915781863034e+08,-5.725916772129443288e+07
-1.779358784126153588e+08,-1.363812820348823369e+08,-5.787902252670192719e+07
-1.767802611819161773e+08,-1.376604149833865166e+08,-5.849422706188669056e+07
-1.756104454396327734e+08,-1.389284914295411408e+08,-5.910473350345148146e+07
-1.744265292052657604e+08,-1.401854127377307713e+08,-5.971049418397523463e+07
-1.732286108242587149e+08,-1.414310806222315431e+08,-6.031146158787205815e+07
-1.720167889752320051e+08,-1.426653971387144625e+08,-6.090758834731625021e+07
-1.707911626773981154e+08,-1.438882646759115756e+08,-6.149882723823684454e+07
-1.695518312981659472e+08,-1.450995859474382102e+08,-6.208513117637908459e+07
-1.682988945609269142e+08,-1.462992639837772846e+08,-6.266645321343517303e+07
-1.670324525530299246e+08,-1.474872021244169176e+08,-6.324274653324060887e+07
-1.657526057339399755e+08,-1.486633040101499557e+08,-6.381396444803974777e+07
-1.644594549435835481e+08,-1.498274735755294561e+08,-6.438006039481805265e+07
-1.631531014108774960e+08,-1.509796150414840877e+08,-6.494098793170291185e+07
-1.618336467624482512e+08,-1.521196329080886245e+08,-6.549670073443055153e+07
-1.605011930315329432e+08,-1.532474319474973977e+08,-6.604715259288276732e+07
-1.591558426670736670e+08,-1.543629171970300674e+08,-6.659229740768863261e+07
-1.577976985429930985e+08,-1.554659939524225891e+08,-6.713208918689712882e+07
-1.564268639676639438e+08,-1.565565677612335086e+08,-6.766648204271586239e+07
-1.550434426935651898e+08,-1.576345444164107442e+08,-6.819543018831846118e+07
-1.536475389271275401e+08,-1.586998299500215352e+08,-6.871888793472194672e+07
-1.522392573387730122e+08,-1.597523306271389127e+08,-6.923680968773069978e+07
-1.508187030731436312e+08,-1.607919529398945868e+08,-6.974914994495175779e+07
-1.493859817595230341e+08,-1.618186036016931534e+08,-7.025586329287904501e+07
-1.479411995224552155e+08,-1.628321895415885150e+08,-7.075690440404692292e+07
-1.464844629925544262e+08,-1.638326178988286555e+08,-7.125222803425562382e+07
-1.450158793175145090e+08,-1.648197960175635815e+08,-7.174178901986666024e+07
