aoa[deg],-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
cl/cd[-],-5.5,-5.5,-5,-5,-4.5,-4,-3.5,-3,-2,-1,0,0.75,1.75,3.25,4.75,6.25,8,9.5,11.25,12.25,12.75,12.75,12.25,11.75,11,10,8.5,7,5,4,3
Snippet 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass[kg], area[m^2], cd[-], pitch_angle[deg], vel_x[m/s] , vel_y[m/s], prop_speed[rpm], est_wind_x[m/s], est_wind_y[m/s],,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.98,31.26,-0.48,5385.08,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.96,31.4,-0.42,5378.88,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.93,31.54,-0.37,5424.32,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.91,31.66,-0.36,5406.99,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.88,31.78,-0.38,5438.44,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.85,31.89,-0.4,5420.32,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.82,31.98,-0.41,5403.82,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.79,32.08,-0.45,5438.36,4.9,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.76,32.18,-0.35,5402.85,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.72,32.26,-0.38,5358.35,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.69,32.33,-0.35,5373.95,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.66,32.41,-0.36,5432.61,4.9,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.62,32.49,-0.26,5439.9,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.59,32.55,-0.26,5400.83,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.55,32.61,-0.19,5345.28,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.51,32.66,-0.12,5297.04,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.47,32.7,-0.08,5288.18,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.44,32.74,-0.08,5345.26,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.4,32.79,-0.08,5399.99,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.36,32.83,-0.04,5383.15,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.32,32.88,0.03,5381.74,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.28,32.92,0.06,5404.6,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.24,32.96,0.01,5404.66,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.19,32.99,0,5367.6,5.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.15,33.02,0.09,5382.8,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.1,33.05,0.17,5369.23,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.06,33.08,0.22,5397.41,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-3.01,33.1,0.26,5455.34,5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.96,33.13,0.33,5432.26,5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.92,33.14,0.31,5413,4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.87,33.15,0.36,5411.02,4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.82,33.16,0.34,5381.6,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.77,33.17,0.46,5400.62,4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.71,33.17,0.4,5405.3,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.66,33.17,0.37,5400.66,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.61,33.17,0.48,5422.14,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.55,33.18,0.55,5470.24,4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.5,33.17,0.54,5418.91,4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.44,33.17,0.52,5443.33,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.39,33.16,0.49,5397.71,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.33,33.15,0.47,5422.33,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.27,33.15,0.43,5400.12,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.21,33.14,0.49,5397.79,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.15,33.13,0.46,5438.2,5,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.09,33.12,0.48,5382.39,5,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-2.03,33.1,0.56,5346.37,5.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.97,33.09,0.63,5377.56,5.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.91,33.07,0.72,5320.63,5.1,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.85,33.04,0.8,5264.56,5.1,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.78,33.02,0.86,5258.13,5.1,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.72,32.98,0.85,5252.24,5.1,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.65,32.94,0.86,5227.63,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.58,32.9,0.82,5225.91,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.52,32.86,0.84,5200.26,5.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.45,32.82,0.9,5175.19,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.38,32.77,0.89,5127.62,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.31,32.72,0.85,5111.58,5.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.23,32.66,0.88,5090.47,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.16,32.62,0.94,5148.2,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.09,32.57,0.96,5157.94,5.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-1.01,32.52,1,5101.82,5.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.94,32.46,1.08,5082.79,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.86,32.4,1.1,5038.01,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.78,32.33,1.14,5057.27,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.7,32.27,1.22,5076.13,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.62,32.21,1.18,5108.14,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.54,32.15,1.28,5061.26,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.46,32.09,1.28,5051.64,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.38,32.02,1.37,4996.06,4.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.29,31.95,1.37,5020.51,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
